Galaxy Tab S4 10.5 WIFI Fb 85.127.289 [Tablet Facebook *******]: Mozilla/5.0 (Linux; Android 9; SM-T830 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Safari/537.36 [FB_IAB/FB4A;FBAV/289.0.0.40.121;]
Galaxy Tab S4 10.5 LTE Fb 85.127.289 [Tablet Facebook *******]: Mozilla/5.0 (Linux; Android 9; SM-T835 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Safari/537.36 [FB_IAB/FB4A;FBAV/289.0.0.40.121;]
Galaxy Tab A 10.1 WIFI Fb 85.127.289 [Tablet Facebook *******]: Mozilla/5.0 (Linux; Android 9; SM-T510 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Safari/537.36 [FB_IAB/FB4A;FBAV/289.0.0.40.121;]
Galaxy Tab A 10.1 LTE Fb 85.127.289 [Tablet Facebook *******]: Mozilla/5.0 (Linux; Android 9; SM-T515 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Safari/537.36 [FB_IAB/FB4A;FBAV/289.0.0.40.121;]
Galaxy Tab A 8.0 WIFI Fb 85.127.289 [Tablet Facebook *******]: Mozilla/5.0 (Linux; Android 9; SM-T290 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Safari/537.36 [FB_IAB/FB4A;FBAV/289.0.0.40.121;]
Galaxy Tab A 8.0 LTE Fb 85.127.289 [Tablet Facebook *******]: Mozilla/5.0 (Linux; Android 9; SM-T295 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Safari/537.36 [FB_IAB/FB4A;FBAV/289.0.0.40.121;]
Galaxy Tab A 10.5 WIFI Fb 85.127.289 [Tablet Facebook *******]: Mozilla/5.0 (Linux; Android 9; SM-T590 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Safari/537.36 [FB_IAB/FB4A;FBAV/289.0.0.40.121;]
Galaxy Tab A 10.5 LTE Fb 85.127.289 [Tablet Facebook *******]: Mozilla/5.0 (Linux; Android 9; SM-T595 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Safari/537.36 [FB_IAB/FB4A;FBAV/289.0.0.40.121;]
Galaxy Tab Active Pro Fb 85.127.289 [Tablet Facebook *******]: Mozilla/5.0 (Linux; Android 9; SM-T545 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Safari/537.36 [FB_IAB/FB4A;FBAV/289.0.0.40.121;]
Mac Catalina x Sfr 14.0 [Mac Safari *************]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15
Mac Catalina x Sfr 14.0 [Mac Safari *************]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15
Mac Catalina x Sfr 14.0 [Mac Safari *************]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15
Mac Catalina x Sfr 14.0 [Mac Safari *************]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15
Mac Catalina x Sfr 14.0 [Mac Safari *************]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15
Mac Catalina x Sfr 14.0 [Mac Safari *************]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15
Mac Catalina x Sfr 14.0 [Mac Safari *************]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15
Mac Catalina x Sfr 14.0 [Mac Safari *************]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15
Mac Mojave x Sfr 14.0 [Mac Safari *************]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15
Mac Catalina x Sfr 14.0 [Mac Safari *************]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15
Mac Catalina x Sfr 14.0 [Mac Safari *************]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15
Mac Catalina x Sfr 14.0 [Mac Safari *************]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Safari/605.1.15
